id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,12964175,10.0,0.0,3980.0,5370.0,3812.5,1031.25,0.9929924011230469,0.9692251682281494,0.0,0.0,4000.0,6000.0
1,728949,89.0,4906.0,1643.0,497.0,1687.5,5156.25,0.9901943802833557,0.9833909869194031,0.0,0.0,4000.0,6000.0
2,94619,2018.0,3068.0,361.0,381.0,2312.5,3281.25,0.9894408583641052,0.9874095916748047,0.0,0.0,4000.0,6000.0
3,238464,3357.0,4740.0,568.0,536.0,3562.5,4781.25,0.989303708076477,0.9850577116012573,0.0,0.0,4000.0,6000.0
4,2465473,0.0,4927.0,3999.0,1072.0,1187.5,5906.25,0.9885098338127136,0.9659885168075562,0.0,0.0,4000.0,6000.0
5,113722,1553.0,2598.0,470.0,301.0,1562.5,2718.75,0.9879828691482544,0.9857757687568665,0.0,0.0,4000.0,6000.0
6,85777,773.0,3121.0,373.0,311.0,812.5,3281.25,0.9877848625183105,0.9854297637939453,0.0,0.0,4000.0,6000.0
7,106198,2639.0,3539.0,389.0,372.0,2687.5,3656.25,0.9869725108146667,0.9875826835632324,0.0,0.0,4000.0,6000.0
8,98602,1355.0,3426.0,422.0,328.0,1562.5,3468.75,0.9866048693656921,0.9836121797561646,0.0,0.0,4000.0,6000.0
9,79152,815.0,3905.0,351.0,318.0,1062.5,4031.25,0.986583411693573,0.9851386547088623,0.0,0.0,4000.0,6000.0
10,78888,1463.0,4126.0,359.0,288.0,1687.5,4406.25,0.9862651228904724,0.9859625101089478,0.0,0.0,4000.0,6000.0
11,79352,816.0,3175.0,351.0,1048.0,1062.5,4218.75,0.9861935973167419,0.9846444129943848,0.0,0.0,4000.0,6000.0
12,6242584,13.0,0.0,3168.0,2022.0,2937.5,1968.75,0.9861597418785095,0.9861168265342712,0.0,0.0,4000.0,6000.0
13,95884,2717.0,2823.0,338.0,372.0,2937.5,2906.25,0.9860082268714905,0.9825664162635803,0.0,0.0,4000.0,6000.0
