id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,12566424,8.0,0.0,3982.0,5495.0,3562.5,1218.75,0.9912675023078918,0.9697495698928833,0.0,0.0,4000.0,6000.0
1,129952,1579.0,3228.0,368.0,457.0,1687.5,3281.25,0.9902992248535156,0.9889335036277771,0.0,0.0,4000.0,6000.0
2,134056,1250.0,4318.0,451.0,417.0,1437.5,4593.75,0.9902982115745544,0.9887307286262512,0.0,0.0,4000.0,6000.0
3,137671,2497.0,4126.0,496.0,332.0,2937.5,4218.75,0.9901127815246582,0.9849591255187988,0.0,0.0,4000.0,6000.0
4,132152,2215.0,2613.0,429.0,978.0,2562.5,3468.75,0.9899453520774841,0.9883565902709961,0.0,0.0,4000.0,6000.0
5,733375,63.0,4383.0,1636.0,1082.0,1687.5,5343.75,0.9898414015769958,0.9804714918136597,0.0,0.0,4000.0,6000.0
6,132051,2215.0,3162.0,429.0,429.0,2562.5,3281.25,0.9897677302360535,0.9886155128479004,0.0,0.0,4000.0,6000.0
7,153728,1997.0,2599.0,474.0,418.0,2437.5,2718.75,0.9895071387290955,0.9888151288032532,0.0,0.0,4000.0,6000.0
8,128269,2826.0,2698.0,363.0,465.0,3062.5,3093.75,0.9889916181564331,0.9890685677528381,0.0,0.0,4000.0,6000.0
9,123518,1081.0,2496.0,436.0,382.0,1437.5,2531.25,0.988834798336029,0.9871684312820435,0.0,0.0,4000.0,6000.0
10,241669,3368.0,4898.0,572.0,536.0,3562.5,4968.75,0.9885060787200928,0.9851680994033813,0.0,0.0,4000.0,6000.0
11,103759,2057.0,3933.0,336.0,408.0,2312.5,4031.25,0.988385796546936,0.9883484840393066,0.0,0.0,4000.0,6000.0
12,130721,1097.0,3844.0,464.0,357.0,1187.5,4031.25,0.9882010221481323,0.9876837730407715,0.0,0.0,4000.0,6000.0
13,105410,897.0,3243.0,435.0,301.0,937.5,3468.75,0.9880048632621765,0.9857454895973206,0.0,0.0,4000.0,6000.0
