id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,12828240,8.0,0.0,3982.0,5452.0,3218.75,1078.125,0.9917799830436707,0.966839611530304,0.0,0.0,4000.0,6000.0
1,92870,1375.0,2799.0,355.0,839.0,1406.25,3421.875,0.9911222457885742,0.9877985119819641,0.0,0.0,4000.0,6000.0
2,2212078,0.0,4953.0,3999.0,1046.0,968.75,5859.375,0.9908536672592163,0.9640111327171326,0.0,0.0,4000.0,6000.0
3,90981,1327.0,2706.0,382.0,312.0,1406.25,2765.625,0.9905433058738708,0.9877433180809021,0.0,0.0,4000.0,6000.0
4,92748,1376.0,3277.0,883.0,360.0,1406.25,3328.125,0.9903600215911865,0.9880836009979248,0.0,0.0,4000.0,6000.0
5,83455,755.0,2692.0,304.0,350.0,843.75,2765.625,0.9902811050415039,0.9883601665496826,0.0,0.0,4000.0,6000.0
6,83517,755.0,2692.0,909.0,350.0,781.25,2765.625,0.989970862865448,0.9888214468955994,0.0,0.0,4000.0,6000.0
7,92677,1375.0,3277.0,355.0,361.0,1468.75,3328.125,0.9898489117622375,0.9879649877548218,0.0,0.0,4000.0,6000.0
8,79829,1661.0,4234.0,298.0,349.0,1843.75,4546.875,0.9898373484611511,0.9869084358215332,0.0,0.0,4000.0,6000.0
9,87640,587.0,3965.0,383.0,304.0,656.25,4171.875,0.9894489049911499,0.9864779114723206,0.0,0.0,4000.0,6000.0
10,224635,3246.0,4888.0,566.0,504.0,3406.25,5296.875,0.9889171123504639,0.9844373464584351,0.0,0.0,4000.0,6000.0
11,705097,0.0,4948.0,1628.0,502.0,1593.75,5390.625,0.9887003302574158,0.9828486442565918,0.0,0.0,4000.0,6000.0
12,6692159,44.0,71.0,3145.0,2200.0,2093.75,2203.125,0.9886279702186584,0.9773403406143188,0.0,0.0,4000.0,6000.0
13,75646,1986.0,2751.0,276.0,872.0,2093.75,2765.625,0.9885087609291077,0.9869189858436584,0.0,0.0,4000.0,6000.0
14,74691,1977.0,3451.0,332.0,732.0,2281.25,4078.125,0.9884234070777893,0.9852184653282166,0.0,0.0,4000.0,6000.0
15,68520,705.0,3340.0,352.0,253.0,1031.25,3421.875,0.9883196353912354,0.9809062480926514,0.0,0.0,4000.0,6000.0
16,73799,617.0,3776.0,849.0,338.0,1281.25,3796.875,0.9882198572158813,0.9842451810836792,0.0,0.0,4000.0,6000.0
17,75719,1986.0,2751.0,276.0,345.0,2093.75,2859.375,0.9881617426872253,0.9869046211242676,0.0,0.0,4000.0,6000.0
18,74754,1985.0,3356.0,309.0,316.0,2031.25,3421.875,0.9876493811607361,0.9877815246582031,0.0,0.0,4000.0,6000.0
19,74461,1165.0,3775.0,302.0,340.0,1218.75,3890.625,0.9874722361564636,0.9863810539245605,0.0,0.0,4000.0,6000.0
20,91109,1326.0,2706.0,383.0,868.0,1343.75,2765.625,0.9873329997062683,0.9868320822715759,0.0,0.0,4000.0,6000.0
21,139016,1637.0,174.0,369.0,386.0,1656.25,515.625,0.986693799495697,0.983421266078949,0.0,0.0,4000.0,6000.0
22,87816,587.0,3362.0,859.0,908.0,843.75,4265.625,0.9863168597221375,0.9841510057449341,0.0,0.0,4000.0,6000.0
23,138198,1174.0,181.0,363.0,461.0,1531.25,515.625,0.9862291812896729,0.9852350950241089,0.0,0.0,4000.0,6000.0
24,133858,1626.0,1594.0,364.0,376.0,1968.75,1828.125,0.9858720898628235,0.9857513904571533,0.0,0.0,4000.0,6000.0
25,135783,2093.0,1126.0,369.0,378.0,2406.25,1359.375,0.9854696989059448,0.985459566116333,0.0,0.0,4000.0,6000.0
26,141367,2104.0,169.0,374.0,475.0,2406.25,515.625,0.985338568687439,0.9811713099479675,0.0,0.0,4000.0,6000.0
27,125631,280.0,1148.0,348.0,369.0,531.25,1453.125,0.9852982759475708,0.9855929613113403,0.0,0.0,4000.0,6000.0
28,137662,2559.0,1126.0,372.0,460.0,2843.75,1359.375,0.9851543307304382,0.985034167766571,0.0,0.0,4000.0,6000.0
29,132212,1173.0,1592.0,356.0,439.0,1468.75,1828.125,0.9850516319274902,0.9826326966285706,0.0,0.0,4000.0,6000.0
30,134254,1629.0,1129.0,366.0,372.0,1968.75,1359.375,0.9849873185157776,0.9861392378807068,0.0,0.0,4000.0,6000.0
31,128130,723.0,689.0,352.0,824.0,781.25,1453.125,0.9848443865776062,0.9838963150978088,0.0,0.0,4000.0,6000.0
32,143808,2574.0,166.0,380.0,389.0,2656.25,421.875,0.9847965240478516,0.9856036901473999,0.0,0.0,4000.0,6000.0
33,93180,1376.0,2796.0,886.0,842.0,1406.25,3515.625,0.9847866892814636,0.9843147397041321,0.0,0.0,4000.0,6000.0
34,74900,1976.0,2799.0,332.0,1384.0,2156.25,4171.875,0.9847465753555298,0.982361912727356,0.0,0.0,4000.0,6000.0
35,137080,715.0,190.0,360.0,478.0,781.25,515.625,0.9846900701522827,0.9794015884399414,0.0,0.0,4000.0,6000.0
36,69089,703.0,2706.0,354.0,888.0,718.75,3515.625,0.984546422958374,0.9827533960342407,0.0,0.0,4000.0,6000.0
37,128572,723.0,1139.0,353.0,371.0,1031.25,1359.375,0.9843696355819702,0.9840813875198364,0.0,0.0,4000.0,6000.0
38,131831,1174.0,1131.0,358.0,372.0,1468.75,1359.375,0.9841657876968384,0.9860581755638123,0.0,0.0,4000.0,6000.0
39,134961,2093.0,691.0,368.0,812.0,2156.25,1453.125,0.9841481447219849,0.9864067435264587,0.0,0.0,4000.0,6000.0
40,136454,2551.0,1596.0,370.0,378.0,2593.75,1734.375,0.9840420484542847,0.98575359582901,0.0,0.0,4000.0,6000.0
41,136818,1632.0,654.0,368.0,381.0,1968.75,703.125,0.9838736653327942,0.9861350655555725,0.0,0.0,4000.0,6000.0
42,136908,2087.0,1593.0,368.0,381.0,2406.25,1734.375,0.983866810798645,0.9843332171440125,0.0,0.0,4000.0,6000.0
43,139474,2567.0,653.0,374.0,381.0,2906.25,796.875,0.9838056564331055,0.9866266250610352,0.0,0.0,4000.0,6000.0
44,137347,2559.0,218.0,386.0,1290.0,2843.75,1453.125,0.9836909174919128,0.9851748943328857,0.0,0.0,4000.0,6000.0
45,126049,286.0,1531.0,347.0,520.0,593.75,1828.125,0.9834386706352234,0.977959394454956,0.0,0.0,4000.0,6000.0
46,127550,725.0,1602.0,351.0,372.0,781.25,1828.125,0.9830427169799805,0.9819883704185486,0.0,0.0,4000.0,6000.0
47,130060,720.0,668.0,356.0,375.0,1031.25,984.375,0.9828417897224426,0.9835277795791626,0.0,0.0,4000.0,6000.0
48,141839,2104.0,168.0,374.0,837.0,2406.25,234.375,0.982795774936676,0.9793128967285156,0.0,0.0,4000.0,6000.0
49,131012,1173.0,714.0,358.0,789.0,1218.75,1453.125,0.9827353358268738,0.986114501953125,0.0,0.0,4000.0,6000.0
50,137086,2099.0,654.0,370.0,376.0,2406.25,796.875,0.9827077984809875,0.9868834614753723,0.0,0.0,4000.0,6000.0
51,131119,1173.0,1130.0,360.0,731.0,1531.25,1171.875,0.9819368720054626,0.9796991348266602,0.0,0.0,4000.0,6000.0
52,135710,259.0,198.0,361.0,388.0,281.25,515.625,0.9816439747810364,0.9839468002319336,0.0,0.0,4000.0,6000.0
53,134793,1174.0,658.0,361.0,442.0,1468.75,796.875,0.9810435175895691,0.9849442839622498,0.0,0.0,4000.0,6000.0
54,123774,287.0,1612.0,346.0,365.0,406.25,1921.875,0.9809331893920898,0.9825783371925354,0.0,0.0,4000.0,6000.0
55,125269,281.0,313.0,347.0,1205.0,468.75,1453.125,0.9807991981506348,0.9840313792228699,0.0,0.0,4000.0,6000.0
56,135392,2094.0,1125.0,368.0,832.0,2406.25,1171.875,0.9807296395301819,0.9814620018005371,0.0,0.0,4000.0,6000.0
57,138722,1174.0,181.0,364.0,817.0,1281.25,234.375,0.9800519943237305,0.9833102226257324,0.0,0.0,4000.0,6000.0
58,128721,271.0,677.0,354.0,377.0,593.75,796.875,0.9799237847328186,0.9814273118972778,0.0,0.0,4000.0,6000.0
59,129136,724.0,1139.0,351.0,778.0,781.25,1171.875,0.9772307276725769,0.9787154197692871,0.0,0.0,4000.0,6000.0
60,34746,2554.0,1498.0,371.0,103.0,2781.25,1546.875,0.9768639206886292,0.9700192809104919,0.0,0.0,4000.0,6000.0
61,2183873,0.0,5389.0,3999.0,610.0,1343.75,5671.875,0.9754269123077393,0.9666546583175659,0.0,0.0,4000.0,6000.0
62,33466,269.0,579.0,353.0,104.0,281.25,609.375,0.974910318851471,0.9719152450561523,0.0,0.0,4000.0,6000.0
63,33672,718.0,572.0,357.0,103.0,781.25,609.375,0.9736810326576233,0.9703298211097717,0.0,0.0,4000.0,6000.0
64,709299,0.0,4948.0,1628.0,1051.0,1218.75,5109.375,0.973419725894928,0.9627088904380798,0.0,0.0,4000.0,6000.0
65,34893,1630.0,1032.0,367.0,99.0,1843.75,1078.125,0.9714952707290649,0.976294994354248,0.0,0.0,4000.0,6000.0
66,31928,278.0,1052.0,348.0,102.0,281.25,1078.125,0.9713501334190369,0.9707344174385071,0.0,0.0,4000.0,6000.0
67,33614,722.0,1041.0,355.0,102.0,968.75,1078.125,0.9709543585777283,0.9729816913604736,0.0,0.0,4000.0,6000.0
68,34199,1174.0,562.0,362.0,105.0,1281.25,609.375,0.970487654209137,0.9713948369026184,0.0,0.0,4000.0,6000.0
69,33199,1174.0,1035.0,359.0,100.0,1468.75,1078.125,0.9702582359313965,0.9708172082901001,0.0,0.0,4000.0,6000.0
70,144176,2115.0,162.0,840.0,671.0,2906.25,140.625,0.969283401966095,0.978446900844574,0.0,0.0,4000.0,6000.0
71,35657,2563.0,1027.0,369.0,102.0,2781.25,1078.125,0.96920245885849,0.9776735901832581,0.0,0.0,4000.0,6000.0
72,34397,1628.0,1498.0,364.0,99.0,1968.75,1546.875,0.9690240621566772,0.9730962514877319,0.0,0.0,4000.0,6000.0
73,33081,1173.0,1502.0,358.0,104.0,1468.75,1546.875,0.9688785672187805,0.970146119594574,0.0,0.0,4000.0,6000.0
74,35187,1635.0,558.0,367.0,100.0,1656.25,609.375,0.9687572717666626,0.9773135185241699,0.0,0.0,4000.0,6000.0
75,31238,724.0,1509.0,351.0,99.0,1031.25,1546.875,0.9675112366676331,0.9554345607757568,0.0,0.0,4000.0,6000.0
76,32705,1624.0,1961.0,363.0,97.0,1656.25,2015.625,0.9674407243728638,0.9762530326843262,0.0,0.0,4000.0,6000.0
77,35832,2097.0,1027.0,367.0,101.0,2343.75,1078.125,0.966874361038208,0.9766543507575989,0.0,0.0,4000.0,6000.0
78,34416,2548.0,1970.0,367.0,100.0,2843.75,2015.625,0.9668529629707336,0.9703953862190247,0.0,0.0,4000.0,6000.0
79,36526,2101.0,553.0,371.0,102.0,2343.75,609.375,0.9658320546150208,0.9740704894065857,0.0,0.0,4000.0,6000.0
80,34340,2090.0,1496.0,368.0,100.0,2343.75,1546.875,0.9648939967155457,0.9725838303565979,0.0,0.0,4000.0,6000.0
81,36395,2571.0,554.0,374.0,100.0,2593.75,609.375,0.9644438028335571,0.972058117389679,0.0,0.0,4000.0,6000.0
82,32787,2084.0,1966.0,366.0,97.0,2093.75,2015.625,0.960949182510376,0.9746263027191162,0.0,0.0,4000.0,6000.0
83,129674,724.0,691.0,351.0,1228.0,843.75,1171.875,0.9577353000640869,0.9767758846282959,0.0,0.0,4000.0,6000.0
84,30136,285.0,1516.0,344.0,100.0,531.25,1546.875,0.9573392868041992,0.9626079797744751,0.0,0.0,4000.0,6000.0
85,32529,1173.0,1964.0,355.0,95.0,1406.25,2015.625,0.9564828276634216,0.9738683104515076,0.0,0.0,4000.0,6000.0
86,29329,769.0,5091.0,158.0,233.0,843.75,5203.125,0.9564787149429321,0.9768901467323303,0.0,0.0,4000.0,6000.0
87,29745,580.0,5084.0,157.0,235.0,656.25,5203.125,0.9564622044563293,0.9769450426101685,0.0,0.0,4000.0,6000.0
88,6721824,45.0,67.0,3145.0,3391.0,2968.75,140.625,0.9546998739242554,0.9699201583862305,0.0,0.0,4000.0,6000.0
89,131825,719.0,313.0,357.0,824.0,718.75,984.375,0.953044593334198,0.9757393002510071,0.0,0.0,4000.0,6000.0
90,5655,2423.0,5814.0,86.0,81.0,2468.75,5859.375,0.95196533203125,0.9667884111404419,0.0,0.0,4000.0,6000.0
91,30876,726.0,1966.0,350.0,94.0,1031.25,2015.625,0.9461632966995239,0.9653536081314087,0.0,0.0,4000.0,6000.0
92,16331,53.0,5064.0,194.0,225.0,218.75,5109.375,0.9426538944244385,0.9658803939819336,0.0,0.0,4000.0,6000.0
93,12092,401.0,5079.0,140.0,229.0,406.25,5109.375,0.941946804523468,0.9598572850227356,0.0,0.0,4000.0,6000.0
94,13307,1085.0,5102.0,422.0,230.0,1093.75,5296.875,0.9394092559814453,0.9614845514297485,0.0,0.0,4000.0,6000.0
95,13429,1085.0,5102.0,149.0,230.0,1218.75,5296.875,0.9363312125205994,0.9612380266189575,0.0,0.0,4000.0,6000.0
96,16456,1389.0,5107.0,147.0,238.0,1406.25,5296.875,0.9363079071044922,0.9508119225502014,0.0,0.0,4000.0,6000.0
97,4979,3200.0,5587.0,68.0,89.0,3218.75,5671.875,0.93218594789505,0.9648984670639038,0.0,0.0,4000.0,6000.0
98,29561,580.0,5083.0,319.0,237.0,593.75,5296.875,0.9254962205886841,0.9634199142456055,0.0,0.0,4000.0,6000.0
99,11531,265.0,5055.0,106.0,242.0,343.75,5203.125,0.910519003868103,0.9568162560462952,0.0,0.0,4000.0,6000.0
100,92023,840.0,2705.0,1357.0,878.0,1656.25,2765.625,0.9065874218940735,0.9773420691490173,0.0,0.0,4000.0,6000.0
101,2359,3882.0,5798.0,28.0,94.0,3906.25,5859.375,0.889369785785675,0.9560348391532898,0.0,0.0,4000.0,6000.0
102,6501,3211.0,5799.0,75.0,95.0,3218.75,5859.375,0.8888890743255615,0.9688115119934082,0.0,0.0,4000.0,6000.0
103,4925,2942.0,5796.0,61.0,93.0,2968.75,5859.375,0.8667495250701904,0.956944465637207,0.0,0.0,4000.0,6000.0
104,127994,280.0,1066.0,347.0,545.0,468.75,1171.875,0.8653942346572876,0.9752157926559448,0.0,0.0,4000.0,6000.0
105,4557,888.0,5533.0,61.0,89.0,906.25,5578.125,0.8608565330505371,0.9526665210723877,0.0,0.0,4000.0,6000.0
106,28735,291.0,1974.0,342.0,92.0,343.75,2015.625,0.8113923072814941,0.9549779295921326,0.0,0.0,4000.0,6000.0
107,6962,1213.0,2108.0,159.0,48.0,1281.25,2109.375,0.8032255172729492,0.9506500959396362,0.0,0.0,4000.0,6000.0
108,127452,279.0,1066.0,347.0,870.0,281.25,1171.875,0.7147637009620667,0.9624781012535095,0.0,0.0,4000.0,6000.0
109,5459,3399.0,5799.0,62.0,96.0,3406.25,5859.375,0.7018247246742249,0.9513155817985535,0.0,0.0,4000.0,6000.0
110,182659,285.0,1251.0,348.0,813.0,343.75,1640.625,0.6259902715682983,0.9510807394981384,0.0,0.0,4000.0,6000.0
