id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,12851630,9.0,0.0,3980.0,5488.0,3562.5,1218.75,0.9926328063011169,0.971110463142395,0.0,0.0,4000.0,6000.0
1,159499,924.0,2718.0,514.0,1044.0,1437.5,2906.25,0.9902974963188171,0.9793299436569214,0.0,0.0,4000.0,6000.0
2,163450,2491.0,2604.0,501.0,442.0,2812.5,2718.75,0.9902424216270447,0.9890772104263306,0.0,0.0,4000.0,6000.0
3,160278,921.0,2717.0,518.0,407.0,937.5,2906.25,0.9901788234710693,0.9887464642524719,0.0,0.0,4000.0,6000.0
4,715019,82.0,4299.0,1633.0,1177.0,1687.5,5343.75,0.9900651574134827,0.981115460395813,0.0,0.0,4000.0,6000.0
5,156070,2638.0,3408.0,420.0,497.0,2687.5,3656.25,0.9898406863212585,0.9881634712219238,0.0,0.0,4000.0,6000.0
6,154926,1722.0,3282.0,390.0,512.0,1937.5,3468.75,0.9897157549858093,0.9894843697547913,0.0,0.0,4000.0,6000.0
7,163663,2491.0,2604.0,520.0,1251.0,2562.5,2718.75,0.9893137812614441,0.9881320595741272,0.0,0.0,4000.0,6000.0
8,714316,82.0,4978.0,1633.0,498.0,1062.5,5156.25,0.9889751672744751,0.9828695058822632,0.0,0.0,4000.0,6000.0
9,2080316,0.0,4993.0,3999.0,1006.0,3937.5,5531.25,0.9888512492179871,0.9765617251396179,0.0,0.0,4000.0,6000.0
10,155070,1722.0,3281.0,725.0,1232.0,1937.5,3281.25,0.9884746670722961,0.9891294836997986,0.0,0.0,4000.0,6000.0
11,127852,885.0,3507.0,491.0,337.0,937.5,3656.25,0.9883524775505066,0.9866459369659424,0.0,0.0,4000.0,6000.0
12,242015,3372.0,4900.0,571.0,538.0,3687.5,5343.75,0.9878828525543213,0.9843094944953918,0.0,0.0,4000.0,6000.0
13,136552,1186.0,4232.0,470.0,378.0,1437.5,4593.75,0.9875539541244507,0.9871267676353455,0.0,0.0,4000.0,6000.0
14,123045,2030.0,4262.0,473.0,338.0,2437.5,4406.25,0.9875368475914001,0.986573338508606,0.0,0.0,4000.0,6000.0
15,137721,1252.0,25.0,367.0,458.0,1562.5,281.25,0.9840893745422363,0.9836117625236511,0.0,0.0,4000.0,6000.0
16,145888,2651.0,17.0,390.0,472.0,2687.5,281.25,0.9838637113571167,0.9830061793327332,0.0,0.0,4000.0,6000.0
17,139010,2623.0,979.0,378.0,467.0,2937.5,1031.25,0.9826808571815491,0.9806550145149231,0.0,0.0,4000.0,6000.0
18,6505971,130.0,0.0,3147.0,2144.0,187.5,1968.75,0.98264080286026,0.9861548542976379,0.0,0.0,4000.0,6000.0
19,125884,785.0,979.0,354.0,364.0,812.5,1218.75,0.9823637008666992,0.9796043634414673,0.0,0.0,4000.0,6000.0
20,139773,1713.0,22.0,376.0,464.0,2062.5,281.25,0.9821873903274536,0.9831491112709045,0.0,0.0,4000.0,6000.0
21,135869,796.0,30.0,362.0,466.0,812.5,281.25,0.9821126461029053,0.9829976558685303,0.0,0.0,4000.0,6000.0
22,142836,2178.0,19.0,383.0,470.0,2437.5,281.25,0.9818644523620605,0.9820144176483154,0.0,0.0,4000.0,6000.0
23,123499,345.0,983.0,346.0,363.0,562.5,1218.75,0.9818372130393982,0.9795463681221008,0.0,0.0,4000.0,6000.0
24,134890,345.0,32.0,355.0,385.0,562.5,281.25,0.9814448952674866,0.9845301508903503,0.0,0.0,4000.0,6000.0
