id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,741219,121.0,4784.0,1647.0,533.0,1062.5,4968.75,0.9909137487411499,0.9833920001983643,0.0,0.0,4000.0,6000.0
1,239966,3150.0,4810.0,572.0,533.0,3687.5,4968.75,0.9902659058570862,0.9851332306861877,0.0,0.0,4000.0,6000.0
2,98848,1469.0,3207.0,360.0,370.0,1812.5,3281.25,0.9892487525939941,0.9879835247993469,0.0,0.0,4000.0,6000.0
3,98673,1469.0,2566.0,359.0,1012.0,1562.5,3281.25,0.989248514175415,0.9882330298423767,0.0,0.0,4000.0,6000.0
4,12234069,12.0,0.0,3978.0,5625.0,3687.5,1218.75,0.9889646768569946,0.9668451547622681,0.0,0.0,4000.0,6000.0
5,95593,2670.0,3322.0,395.0,306.0,2687.5,3468.75,0.9887886643409729,0.9862320423126221,0.0,0.0,4000.0,6000.0
6,84139,1759.0,3812.0,350.0,325.0,1812.5,4031.25,0.9886457920074463,0.9871973395347595,0.0,0.0,4000.0,6000.0
7,71743,619.0,3999.0,262.0,355.0,687.5,4218.75,0.9885885715484619,0.9872305989265442,0.0,0.0,4000.0,6000.0
8,118358,2439.0,2554.0,436.0,363.0,2562.5,2718.75,0.9883807897567749,0.9877954721450806,0.0,0.0,4000.0,6000.0
9,91147,1129.0,3956.0,352.0,354.0,1187.5,4218.75,0.9883416295051575,0.986919105052948,0.0,0.0,4000.0,6000.0
10,2563724,75.0,4862.0,3924.0,1137.0,1687.5,5906.25,0.9880691170692444,0.9778366684913635,0.0,0.0,4000.0,6000.0
11,109198,2042.0,3115.0,328.0,423.0,2062.5,3281.25,0.9879583120346069,0.987186849117279,0.0,0.0,4000.0,6000.0
12,744645,121.0,4784.0,1647.0,1134.0,1687.5,4968.75,0.987098753452301,0.9813963174819946,0.0,0.0,4000.0,6000.0
13,86505,1452.0,2548.0,372.0,301.0,1812.5,2718.75,0.9869128465652466,0.9846023321151733,0.0,0.0,4000.0,6000.0
14,99412,2261.0,3954.0,356.0,382.0,2312.5,4218.75,0.9868167042732239,0.9848724007606506,0.0,0.0,4000.0,6000.0
15,81805,760.0,3100.0,371.0,286.0,1062.5,3281.25,0.9863775968551636,0.9707055687904358,0.0,0.0,4000.0,6000.0
16,95496,2054.0,2613.0,1012.0,1015.0,3062.5,3468.75,0.9862305521965027,0.9862565398216248,0.0,0.0,4000.0,6000.0
17,133872,733.0,0.0,360.0,377.0,1062.5,281.25,0.9860972762107849,0.988955020904541,0.0,0.0,4000.0,6000.0
18,131407,1652.0,0.0,373.0,360.0,1687.5,281.25,0.9859648942947388,0.9881548285484314,0.0,0.0,4000.0,6000.0
19,135068,278.0,0.0,358.0,383.0,312.5,281.25,0.9856160879135132,0.9898644685745239,0.0,0.0,4000.0,6000.0
20,126486,289.0,946.0,347.0,372.0,562.5,1218.75,0.9854333996772766,0.9837260246276855,0.0,0.0,4000.0,6000.0
21,131553,2122.0,0.0,378.0,358.0,2437.5,281.25,0.9849998950958252,0.9885565638542175,0.0,0.0,4000.0,6000.0
22,127301,730.0,944.0,351.0,369.0,812.5,1218.75,0.9847325682640076,0.984505832195282,0.0,0.0,4000.0,6000.0
23,132197,1190.0,0.0,366.0,370.0,1437.5,281.25,0.9847024083137512,0.9879224896430969,0.0,0.0,4000.0,6000.0
24,132509,2595.0,0.0,387.0,356.0,2687.5,281.25,0.9844638705253601,0.9884241223335266,0.0,0.0,4000.0,6000.0
25,140903,2568.0,932.0,381.0,464.0,2937.5,1031.25,0.9844003319740295,0.9847285747528076,0.0,0.0,4000.0,6000.0
26,131483,734.0,471.0,354.0,377.0,1062.5,656.25,0.9833930134773254,0.9856482744216919,0.0,0.0,4000.0,6000.0
27,131954,2117.0,0.0,383.0,808.0,2437.5,93.75,0.9832774996757507,0.9858105182647705,0.0,0.0,4000.0,6000.0
28,744849,122.0,4015.0,1646.0,1302.0,1687.5,5156.25,0.983089804649353,0.9798511862754822,0.0,0.0,4000.0,6000.0
29,134123,1634.0,933.0,368.0,373.0,1687.5,1218.75,0.9827613234519958,0.9825435280799866,0.0,0.0,4000.0,6000.0
30,130943,1177.0,937.0,362.0,370.0,1437.5,1218.75,0.9825146794319153,0.9860231876373291,0.0,0.0,4000.0,6000.0
31,129655,287.0,477.0,350.0,377.0,562.5,656.25,0.9823859333992004,0.9804730415344238,0.0,0.0,4000.0,6000.0
32,2551351,77.0,5252.0,3922.0,747.0,2562.5,5531.25,0.9819021224975586,0.9775119423866272,0.0,0.0,4000.0,6000.0
33,126114,288.0,1410.0,345.0,439.0,562.5,1593.75,0.9818187355995178,0.9684495329856873,0.0,0.0,4000.0,6000.0
34,134935,1625.0,1401.0,369.0,438.0,1937.5,1593.75,0.9816402792930603,0.9812488555908203,0.0,0.0,4000.0,6000.0
35,242426,2293.0,2611.0,1429.0,2733.0,3687.5,4968.75,0.9815682768821716,0.9750363826751709,0.0,0.0,4000.0,6000.0
36,139185,2089.0,1402.0,373.0,453.0,2437.5,1593.75,0.9814838767051697,0.9796585440635681,0.0,0.0,4000.0,6000.0
37,136587,2100.0,932.0,375.0,377.0,2437.5,1218.75,0.9813488125801086,0.982952356338501,0.0,0.0,4000.0,6000.0
38,140743,2582.0,361.0,382.0,478.0,2937.5,656.25,0.9812299013137817,0.9808956384658813,0.0,0.0,4000.0,6000.0
39,135723,1643.0,460.0,371.0,376.0,1687.5,656.25,0.9811447262763977,0.9827414751052856,0.0,0.0,4000.0,6000.0
40,137270,2112.0,362.0,375.0,471.0,2437.5,656.25,0.9801228642463684,0.9823336601257324,0.0,0.0,4000.0,6000.0
41,136637,2100.0,931.0,375.0,841.0,2437.5,1031.25,0.979882538318634,0.9796192049980164,0.0,0.0,4000.0,6000.0
42,131792,1171.0,1401.0,360.0,446.0,1437.5,1593.75,0.9797853827476501,0.974782407283783,0.0,0.0,4000.0,6000.0
43,139906,2556.0,1407.0,380.0,383.0,2812.5,1593.75,0.9796043634414673,0.9837959408760071,0.0,0.0,4000.0,6000.0
44,134060,1185.0,463.0,363.0,378.0,1437.5,656.25,0.9786419868469238,0.9846552610397339,0.0,0.0,4000.0,6000.0
45,134056,1626.0,948.0,368.0,832.0,1687.5,1593.75,0.9782835245132446,0.9788666367530823,0.0,0.0,4000.0,6000.0
46,126153,724.0,1404.0,352.0,436.0,812.5,1593.75,0.9776237607002258,0.9738495349884033,0.0,0.0,4000.0,6000.0
47,6408102,63.0,0.0,3157.0,2095.0,187.5,1968.75,0.9773852229118347,0.9556734561920166,0.0,0.0,4000.0,6000.0
48,136619,2100.0,595.0,376.0,714.0,2187.5,1218.75,0.9762176275253296,0.9820263981819153,0.0,0.0,4000.0,6000.0
49,137647,2111.0,456.0,376.0,447.0,2187.5,656.25,0.975536048412323,0.9808691143989563,0.0,0.0,4000.0,6000.0
50,83400,759.0,3100.0,374.0,1225.0,937.5,3093.75,0.9748530983924866,0.979171633720398,0.0,0.0,4000.0,6000.0
51,129724,1178.0,503.0,361.0,803.0,1312.5,1218.75,0.9726852774620056,0.9835566282272339,0.0,0.0,4000.0,6000.0
52,35038,1641.0,837.0,365.0,99.0,1687.5,843.75,0.9690592288970947,0.9710981249809265,0.0,0.0,4000.0,6000.0
53,34098,285.0,380.0,351.0,105.0,312.5,468.75,0.9683036208152771,0.9669578671455383,0.0,0.0,4000.0,6000.0
54,35925,2109.0,834.0,368.0,101.0,2437.5,843.75,0.965076744556427,0.9699618816375732,0.0,0.0,4000.0,6000.0
55,35678,2101.0,835.0,376.0,418.0,2187.5,843.75,0.960536003112793,0.9706231951713562,0.0,0.0,4000.0,6000.0
56,34601,1182.0,838.0,360.0,101.0,1437.5,843.75,0.9594942927360535,0.974179208278656,0.0,0.0,4000.0,6000.0
57,35723,735.0,368.0,355.0,106.0,1062.5,468.75,0.9556556940078735,0.9640861749649048,0.0,0.0,4000.0,6000.0
58,33276,1622.0,1771.0,365.0,96.0,1937.5,1781.25,0.9555790424346924,0.9704331159591675,0.0,0.0,4000.0,6000.0
59,37338,2579.0,836.0,373.0,103.0,2937.5,843.75,0.9538925290107727,0.9754096269607544,0.0,0.0,4000.0,6000.0
60,15746,173.0,4904.0,304.0,237.0,187.5,4968.75,0.9538590908050537,0.9635081887245178,0.0,0.0,4000.0,6000.0
61,31611,1169.0,1771.0,356.0,92.0,1437.5,1781.25,0.9531114101409912,0.9583216905593872,0.0,0.0,4000.0,6000.0
62,176876,1991.0,0.0,133.0,1969.0,2062.5,468.75,0.9504660367965698,0.9517117142677307,0.0,0.0,4000.0,6000.0
63,6132,2653.0,5697.0,89.0,86.0,2687.5,5718.75,0.9447616934776306,0.9745653867721558,0.0,0.0,4000.0,6000.0
64,21223,893.0,4940.0,158.0,241.0,937.5,5156.25,0.9442510008811951,0.9543296694755554,0.0,0.0,4000.0,6000.0
65,11117,385.0,4901.0,107.0,244.0,437.5,4968.75,0.9348661303520203,0.9661241769790649,0.0,0.0,4000.0,6000.0
66,5047,3552.0,5850.0,66.0,91.0,3562.5,5906.25,0.934848427772522,0.9634667634963989,0.0,0.0,4000.0,6000.0
67,17937,1201.0,4955.0,151.0,244.0,1312.5,4968.75,0.9309330582618713,0.959392249584198,0.0,0.0,4000.0,6000.0
