id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,14007986,10.0,0.0,3980.0,5805.0,2812.5,843.75,0.990639328956604,0.9770188331604004,0.0,0.0,4000.0,6000.0
1,293424,3460.0,4516.0,539.0,650.0,3562.5,4781.25,0.9901592135429382,0.9885234832763672,0.0,0.0,4000.0,6000.0
2,932718,0.0,4690.0,1729.0,690.0,1687.5,5156.25,0.9896877408027649,0.9823835492134094,0.0,0.0,4000.0,6000.0
3,50350,1526.0,3150.0,222.0,291.0,1562.5,3281.25,0.9883275628089905,0.9857855439186096,0.0,0.0,4000.0,6000.0
4,54731,2099.0,3630.0,304.0,222.0,2312.5,3656.25,0.987818717956543,0.9859328866004944,0.0,0.0,4000.0,6000.0
5,4777881,0.0,0.0,2754.0,1840.0,2687.5,1593.75,0.9878076910972595,0.9866355657577515,0.0,0.0,4000.0,6000.0
6,54883,516.0,3670.0,317.0,219.0,562.5,3843.75,0.9877710342407227,0.9834086298942566,0.0,0.0,4000.0,6000.0
7,54425,1144.0,3851.0,291.0,268.0,1187.5,4031.25,0.9869670271873474,0.9851908683776855,0.0,0.0,4000.0,6000.0
8,47823,1864.0,4179.0,267.0,235.0,2062.5,4218.75,0.9867336750030518,0.985674262046814,0.0,0.0,4000.0,6000.0
9,50201,2421.0,2601.0,309.0,203.0,2687.5,2718.75,0.9866158962249756,0.9857940077781677,0.0,0.0,4000.0,6000.0
10,54150,2060.0,3037.0,287.0,250.0,2187.5,3093.75,0.9863325953483582,0.9852437376976013,0.0,0.0,4000.0,6000.0
11,44286,1043.0,2755.0,249.0,241.0,1187.5,2906.25,0.9848056435585022,0.9830030202865601,0.0,0.0,4000.0,6000.0
12,44485,3041.0,3295.0,219.0,266.0,3187.5,3468.75,0.9845455884933472,0.9858488440513611,0.0,0.0,4000.0,6000.0
13,43796,1714.0,2637.0,215.0,265.0,1812.5,2718.75,0.9843835830688477,0.9857829809188843,0.0,0.0,4000.0,6000.0
14,93079,2173.0,0.0,327.0,349.0,2312.5,93.75,0.9842891097068787,0.9888768792152405,0.0,0.0,4000.0,6000.0
15,88317,968.0,68.0,313.0,308.0,1062.5,281.25,0.9837906956672668,0.9849046468734741,0.0,0.0,4000.0,6000.0
16,90422,1363.0,40.0,317.0,309.0,1437.5,281.25,0.9834966659545898,0.98259037733078,0.0,0.0,4000.0,6000.0
17,933919,0.0,4691.0,1730.0,1138.0,1687.5,4781.25,0.9832685589790344,0.9784387350082397,0.0,0.0,4000.0,6000.0
18,87683,578.0,93.0,311.0,311.0,687.5,281.25,0.9828434586524963,0.982752799987793,0.0,0.0,4000.0,6000.0
19,93284,1765.0,0.0,321.0,388.0,1812.5,281.25,0.9821439981460571,0.9783599376678467,0.0,0.0,4000.0,6000.0
