id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,13299644,0.0,0.0,3990.0,5394.0,3187.5,1031.25,0.9931133389472961,0.9789063930511475,0.0,0.0,4000.0,6000.0
1,2380492,0.0,5047.0,3999.0,952.0,2437.5,5906.25,0.9925981760025024,0.9844750761985779,0.0,0.0,4000.0,6000.0
2,231626,3253.0,4805.0,560.0,527.0,3562.5,4968.75,0.9880232810974121,0.9811446666717529,0.0,0.0,4000.0,6000.0
3,722207,0.0,4882.0,1633.0,505.0,1312.5,5343.75,0.9878509640693665,0.974159300327301,0.0,0.0,4000.0,6000.0
4,47862,980.0,3682.0,288.0,216.0,1062.5,3843.75,0.9878317713737488,0.9845969080924988,0.0,0.0,4000.0,6000.0
5,57383,1714.0,3049.0,314.0,236.0,1937.5,3093.75,0.9878277778625488,0.9864939451217651,0.0,0.0,4000.0,6000.0
6,69080,2131.0,3477.0,263.0,346.0,2187.5,3656.25,0.9877981543540955,0.9873414039611816,0.0,0.0,4000.0,6000.0
7,57279,2301.0,2848.0,237.0,310.0,2437.5,2906.25,0.9876936078071594,0.9863379597663879,0.0,0.0,4000.0,6000.0
8,50254,1196.0,3058.0,243.0,274.0,1312.5,3093.75,0.987566351890564,0.9862079620361328,0.0,0.0,4000.0,6000.0
9,51977,1200.0,4148.0,283.0,258.0,1312.5,4218.75,0.9870340824127197,0.9859232902526855,0.0,0.0,4000.0,6000.0
10,129465,649.0,0.0,361.0,367.0,687.5,281.25,0.9869950413703918,0.9888980984687805,0.0,0.0,4000.0,6000.0
11,57275,1714.0,2566.0,314.0,719.0,1812.5,3281.25,0.9865255355834961,0.984169602394104,0.0,0.0,4000.0,6000.0
12,48456,1678.0,2528.0,284.0,222.0,1812.5,2718.75,0.9862690567970276,0.985518217086792,0.0,0.0,4000.0,6000.0
13,128737,1109.0,0.0,364.0,357.0,1437.5,281.25,0.9860527515411377,0.9889793992042542,0.0,0.0,4000.0,6000.0
14,131887,2509.0,0.0,383.0,356.0,2562.5,281.25,0.9858852624893188,0.9886364340782166,0.0,0.0,4000.0,6000.0
15,64429,1570.0,3588.0,292.0,309.0,1687.5,3843.75,0.9858683347702026,0.984800398349762,0.0,0.0,4000.0,6000.0
16,34387,2140.0,4040.0,198.0,225.0,2187.5,4218.75,0.9856372475624084,0.9834751486778259,0.0,0.0,4000.0,6000.0
17,129780,2038.0,0.0,376.0,436.0,2062.5,281.25,0.9854568839073181,0.9879435300827026,0.0,0.0,4000.0,6000.0
18,126788,209.0,939.0,346.0,370.0,437.5,1218.75,0.9852521419525146,0.9877581596374512,0.0,0.0,4000.0,6000.0
19,129532,1570.0,0.0,371.0,355.0,1812.5,281.25,0.9852144122123718,0.9881606698036194,0.0,0.0,4000.0,6000.0
20,137300,2474.0,1403.0,375.0,382.0,2812.5,1593.75,0.9846241474151611,0.9854002594947815,0.0,0.0,4000.0,6000.0
21,138331,2487.0,930.0,374.0,443.0,2812.5,1031.25,0.9845014214515686,0.986488401889801,0.0,0.0,4000.0,6000.0
22,128163,653.0,935.0,350.0,371.0,687.5,1218.75,0.9844385981559753,0.9843212962150574,0.0,0.0,4000.0,6000.0
23,64515,1570.0,3081.0,292.0,816.0,1812.5,3843.75,0.9842148423194885,0.9825423955917358,0.0,0.0,4000.0,6000.0
24,48737,1678.0,2528.0,284.0,718.0,1812.5,2531.25,0.9839903116226196,0.9847025275230408,0.0,0.0,4000.0,6000.0
25,131259,654.0,462.0,353.0,379.0,687.5,656.25,0.983641505241394,0.9829068779945374,0.0,0.0,4000.0,6000.0
26,129694,2038.0,0.0,376.0,809.0,2062.5,93.75,0.9835535287857056,0.9853163957595825,0.0,0.0,4000.0,6000.0
27,130967,190.0,0.0,364.0,367.0,312.5,281.25,0.9834000468254089,0.9879429340362549,0.0,0.0,4000.0,6000.0
28,6363796,0.0,0.0,3127.0,2089.0,2937.5,1968.75,0.9833117723464966,0.9648073315620422,0.0,0.0,4000.0,6000.0
29,128633,1109.0,0.0,364.0,813.0,1187.5,93.75,0.9831116795539856,0.9868651628494263,0.0,0.0,4000.0,6000.0
30,56088,1700.0,4342.0,259.0,276.0,1812.5,4406.25,0.9830020070075989,0.9836230874061584,0.0,0.0,4000.0,6000.0
31,2384606,0.0,5368.0,3999.0,631.0,2437.5,5531.25,0.9828746318817139,0.9829363226890564,0.0,0.0,4000.0,6000.0
32,64996,1569.0,3586.0,377.0,931.0,1562.5,3656.25,0.9823659062385559,0.9829758405685425,0.0,0.0,4000.0,6000.0
33,130406,1100.0,930.0,361.0,370.0,1312.5,1218.75,0.9823471307754517,0.9797359108924866,0.0,0.0,4000.0,6000.0
34,131676,203.0,465.0,352.0,381.0,437.5,656.25,0.9820584654808044,0.9847157001495361,0.0,0.0,4000.0,6000.0
35,136574,2008.0,1396.0,373.0,382.0,2312.5,1593.75,0.9816587567329407,0.9789168238639832,0.0,0.0,4000.0,6000.0
