id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,98876,3221.0,3482.0,406.0,311.0,3562.5,3656.25,0.9912370443344116,0.9873459935188293,0.0,0.0,4000.0,6000.0
1,905909,0.0,4664.0,1714.0,561.0,1312.5,5156.25,0.9904524087905884,0.9748831391334534,0.0,0.0,4000.0,6000.0
2,13813272,0.0,0.0,3989.0,5589.0,1437.5,1968.75,0.9904494881629944,0.9861260652542114,0.0,0.0,4000.0,6000.0
3,83258,1357.0,3558.0,358.0,332.0,1437.5,3843.75,0.9893592596054077,0.9865313172340393,0.0,0.0,4000.0,6000.0
4,79473,2275.0,3190.0,291.0,339.0,2562.5,3281.25,0.9891604781150818,0.9856840968132019,0.0,0.0,4000.0,6000.0
5,56388,685.0,3478.0,296.0,254.0,812.5,3656.25,0.9885885715484619,0.9841113686561584,0.0,0.0,4000.0,6000.0
6,93747,2874.0,2598.0,360.0,363.0,2937.5,2718.75,0.9881235957145691,0.9876612424850464,0.0,0.0,4000.0,6000.0
7,297110,3440.0,4507.0,559.0,644.0,3562.5,4968.75,0.9876881241798401,0.9838889837265015,0.0,0.0,4000.0,6000.0
8,80753,1049.0,2537.0,304.0,337.0,1312.5,2718.75,0.9874744415283203,0.9869481325149536,0.0,0.0,4000.0,6000.0
9,71010,2000.0,2359.0,329.0,277.0,2312.5,2531.25,0.9868659377098083,0.9867948293685913,0.0,0.0,4000.0,6000.0
10,99188,2987.0,2612.0,639.0,1182.0,3562.5,3656.25,0.9868467450141907,0.9845079779624939,0.0,0.0,4000.0,6000.0
11,63455,1704.0,2894.0,300.0,291.0,1812.5,3093.75,0.9862891435623169,0.9873794317245483,0.0,0.0,4000.0,6000.0
12,57962,1945.0,3873.0,285.0,274.0,2187.5,4031.25,0.9861473441123962,0.983467698097229,0.0,0.0,4000.0,6000.0
13,66413,2521.0,4192.0,264.0,313.0,2687.5,4218.75,0.9859083294868469,0.9857240915298462,0.0,0.0,4000.0,6000.0
14,910712,0.0,4654.0,1715.0,818.0,1687.5,4968.75,0.9831326603889465,0.9770742654800415,0.0,0.0,4000.0,6000.0
15,84633,1781.0,0.0,323.0,598.0,1812.5,93.75,0.9831216335296631,0.9880382418632507,0.0,0.0,4000.0,6000.0
16,93021,571.0,21.0,319.0,313.0,687.5,281.25,0.9830935001373291,0.9838981628417969,0.0,0.0,4000.0,6000.0
17,91928,178.0,38.0,316.0,312.0,437.5,281.25,0.9829828143119812,0.982479989528656,0.0,0.0,4000.0,6000.0
18,89711,1374.0,0.0,320.0,290.0,1437.5,93.75,0.9825840592384338,0.9886308312416077,0.0,0.0,4000.0,6000.0
19,80110,2193.0,0.0,329.0,251.0,2312.5,93.75,0.9814624786376953,0.9848792552947998,0.0,0.0,4000.0,6000.0
20,103195,2202.0,699.0,338.0,325.0,2437.5,843.75,0.9805957078933716,0.9813197255134583,0.0,0.0,4000.0,6000.0
21,4801882,0.0,0.0,2774.0,1802.0,62.5,1781.25,0.9805034399032593,0.9719398021697998,0.0,0.0,4000.0,6000.0
22,107873,2205.0,1094.0,345.0,324.0,2437.5,1218.75,0.9796527624130249,0.9801571369171143,0.0,0.0,4000.0,6000.0
23,94077,139.0,798.0,326.0,316.0,437.5,1031.25,0.9792393445968628,0.981511116027832,0.0,0.0,4000.0,6000.0
24,91967,175.0,38.0,319.0,678.0,437.5,93.75,0.9791631102561951,0.981354832649231,0.0,0.0,4000.0,6000.0
25,97133,1781.0,335.0,325.0,638.0,1812.5,468.75,0.9786329865455627,0.9795273542404175,0.0,0.0,4000.0,6000.0
26,96349,947.0,756.0,326.0,314.0,1187.5,843.75,0.9784942865371704,0.9755569696426392,0.0,0.0,4000.0,6000.0
27,97162,1781.0,334.0,326.0,315.0,2062.5,468.75,0.9784627556800842,0.9834548830986023,0.0,0.0,4000.0,6000.0
28,93773,971.0,0.0,318.0,313.0,1187.5,93.75,0.9782100319862366,0.9776924848556519,0.0,0.0,4000.0,6000.0
29,104821,1349.0,1123.0,334.0,391.0,1437.5,1406.25,0.9775524139404297,0.97687166929245,0.0,0.0,4000.0,6000.0
30,99250,2198.0,315.0,332.0,316.0,2437.5,468.75,0.9769037365913391,0.9781350493431091,0.0,0.0,4000.0,6000.0
31,101217,1778.0,716.0,331.0,321.0,2062.5,843.75,0.9767196178436279,0.981569766998291,0.0,0.0,4000.0,6000.0
32,106855,1774.0,1105.0,337.0,391.0,2062.5,1218.75,0.976173996925354,0.9731914401054382,0.0,0.0,4000.0,6000.0
33,95037,539.0,776.0,327.0,316.0,812.5,1031.25,0.9757323265075684,0.9795286655426025,0.0,0.0,4000.0,6000.0
34,98952,1360.0,738.0,329.0,316.0,1562.5,843.75,0.9754112362861633,0.9806153774261475,0.0,0.0,4000.0,6000.0
35,92726,558.0,395.0,321.0,312.0,812.5,656.25,0.9737108945846558,0.9814179539680481,0.0,0.0,4000.0,6000.0
36,92182,178.0,37.0,316.0,983.0,187.5,93.75,0.9736913442611694,0.9782212376594543,0.0,0.0,4000.0,6000.0
37,298130,3236.0,3549.0,763.0,1602.0,3937.5,4593.75,0.9732475876808167,0.9861962199211121,0.0,0.0,4000.0,6000.0
38,94342,959.0,374.0,323.0,314.0,1187.5,468.75,0.9730207920074463,0.9765348434448242,0.0,0.0,4000.0,6000.0
39,92334,161.0,416.0,319.0,312.0,437.5,656.25,0.9720203876495361,0.9789474606513977,0.0,0.0,4000.0,6000.0
40,92450,161.0,416.0,320.0,613.0,437.5,468.75,0.9719650745391846,0.9766042232513428,0.0,0.0,4000.0,6000.0
