id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,13573935,0.0,0.0,3990.0,5392.0,3187.5,1031.25,0.993979811668396,0.9811968207359314,0.0,0.0,4000.0,6000.0
1,723466,0.0,4891.0,1630.0,508.0,1062.5,5343.75,0.990250825881958,0.978661060333252,0.0,0.0,4000.0,6000.0
2,2397417,0.0,4906.0,3999.0,1093.0,2437.5,5906.25,0.9898115992546082,0.981037437915802,0.0,0.0,4000.0,6000.0
3,231219,3254.0,4806.0,560.0,526.0,3687.5,4968.75,0.9882442951202393,0.9839733242988586,0.0,0.0,4000.0,6000.0
4,129531,650.0,0.0,361.0,367.0,687.5,281.25,0.9866833090782166,0.9891653656959534,0.0,0.0,4000.0,6000.0
5,34601,2149.0,3533.0,190.0,235.0,2312.5,3656.25,0.9863160252571106,0.9854311943054199,0.0,0.0,4000.0,6000.0
6,128779,1110.0,0.0,363.0,357.0,1437.5,281.25,0.986003577709198,0.9890795350074768,0.0,0.0,4000.0,6000.0
7,131954,2509.0,0.0,383.0,356.0,2562.5,281.25,0.985901415348053,0.9892390370368958,0.0,0.0,4000.0,6000.0
8,129888,2038.0,0.0,376.0,437.0,2062.5,281.25,0.9855504035949707,0.9876575469970703,0.0,0.0,4000.0,6000.0
9,723044,0.0,4392.0,1630.0,1006.0,1562.5,5343.75,0.9851996898651123,0.9789662957191467,0.0,0.0,4000.0,6000.0
10,126586,210.0,940.0,346.0,369.0,437.5,1218.75,0.9850584268569946,0.9862472414970398,0.0,0.0,4000.0,6000.0
11,138427,2487.0,930.0,374.0,443.0,2812.5,1031.25,0.9848412871360779,0.9859870672225952,0.0,0.0,4000.0,6000.0
12,129496,1571.0,0.0,371.0,356.0,1812.5,281.25,0.9848361611366272,0.9884165525436401,0.0,0.0,4000.0,6000.0
13,128216,653.0,935.0,351.0,371.0,687.5,1218.75,0.9842617511749268,0.9843624234199524,0.0,0.0,4000.0,6000.0
14,137360,2474.0,1404.0,375.0,382.0,2812.5,1593.75,0.9842151999473572,0.9847648739814758,0.0,0.0,4000.0,6000.0
15,27974,1624.0,2776.0,208.0,172.0,1687.5,2906.25,0.9841023087501526,0.9832352995872498,0.0,0.0,4000.0,6000.0
16,33943,2201.0,3006.0,236.0,186.0,2312.5,3093.75,0.9837015867233276,0.984815239906311,0.0,0.0,4000.0,6000.0
17,129856,2038.0,0.0,376.0,809.0,2062.5,93.75,0.9836195111274719,0.9847871661186218,0.0,0.0,4000.0,6000.0
18,6362736,8.0,0.0,3120.0,2089.0,2937.5,1968.75,0.9836151003837585,0.9574356079101562,0.0,0.0,4000.0,6000.0
19,130841,191.0,0.0,363.0,367.0,312.5,281.25,0.9834452271461487,0.9880590438842773,0.0,0.0,4000.0,6000.0
20,29107,1603.0,3359.0,219.0,165.0,1687.5,3468.75,0.9831398129463196,0.9803247451782227,0.0,0.0,4000.0,6000.0
21,34150,1008.0,4312.0,209.0,227.0,1062.5,4406.25,0.9829650521278381,0.9844871163368225,0.0,0.0,4000.0,6000.0
22,128780,1109.0,0.0,364.0,813.0,1187.5,93.75,0.9828599095344543,0.9869945645332336,0.0,0.0,4000.0,6000.0
23,131522,654.0,462.0,353.0,379.0,687.5,656.25,0.982635498046875,0.9827224612236023,0.0,0.0,4000.0,6000.0
24,2399018,0.0,5368.0,3999.0,631.0,2437.5,5531.25,0.9822826981544495,0.9829660654067993,0.0,0.0,4000.0,6000.0
25,136365,2008.0,1396.0,373.0,382.0,2312.5,1593.75,0.9822236895561218,0.9793897271156311,0.0,0.0,4000.0,6000.0
26,130342,1101.0,931.0,361.0,369.0,1312.5,1218.75,0.9820497632026672,0.9800610542297363,0.0,0.0,4000.0,6000.0
27,28431,1093.0,3164.0,197.0,200.0,1187.5,3281.25,0.9816675186157227,0.9839757084846497,0.0,0.0,4000.0,6000.0
28,131778,204.0,465.0,352.0,381.0,437.5,656.25,0.9816609621047974,0.9850711226463318,0.0,0.0,4000.0,6000.0
29,32162,1040.0,3773.0,233.0,171.0,1187.5,3843.75,0.981547474861145,0.9832033514976501,0.0,0.0,4000.0,6000.0
30,132703,1556.0,927.0,368.0,370.0,1687.5,1218.75,0.9813510179519653,0.9835444092750549,0.0,0.0,4000.0,6000.0
31,29602,1691.0,4387.0,205.0,196.0,1812.5,4406.25,0.9813089966773987,0.9824532270431519,0.0,0.0,4000.0,6000.0
32,123241,212.0,1402.0,344.0,438.0,437.5,1593.75,0.9812716841697693,0.9807794094085693,0.0,0.0,4000.0,6000.0
33,131404,1549.0,1395.0,365.0,451.0,1562.5,1593.75,0.9811510443687439,0.9798927307128906,0.0,0.0,4000.0,6000.0
34,136309,2019.0,927.0,372.0,377.0,2312.5,1218.75,0.9811035394668579,0.9836328029632568,0.0,0.0,4000.0,6000.0
35,127164,650.0,1397.0,352.0,443.0,937.5,1593.75,0.9809098839759827,0.9810444116592407,0.0,0.0,4000.0,6000.0
36,132657,1107.0,456.0,361.0,378.0,1437.5,656.25,0.9805201888084412,0.9815468788146973,0.0,0.0,4000.0,6000.0
